Date;Tx;Tavg;RH_avg;ff_x;ff_avg
20-01-2022;27,4;22,6;94;4;2
21-01-2022;28;23,6;86;5;2
22-01-2022;27,6;24;84;4;1
23-01-2022;29,2;24,3;84;4;2
24-01-2022;30,2;25;76;4;2
25-01-2022;31,4;25;73;4;2
26-01-2022;31;25,7;77;3;2
27-01-2022;30,6;25;80;4;1
28-01-2022;28,9;24;86;6;1
29-01-2022;30;24,5;81;4;2
30-01-2022;29;24,6;82;5;2
31-01-2022;30,2;23,7;84;4;1
01-02-2022;28,4;22,4;92;3;1
02-02-2022;29,4;23,9;83;4;2
03-02-2022;30,4;24,2;83;4;2
04-02-2022;29;24;86;4;2
05-02-2022;27,6;23,5;90;3;1
06-02-2022;28,6;24;85;5;2
07-02-2022;27,8;24,2;76;3;2
08-02-2022;30,1;26;66;4;2
09-02-2022;28,6;23,7;85;3;1
10-02-2022;27,8;23,6;86;2;1
11-02-2022;27,4;23,5;86;3;1
12-02-2022;28,4;24,1;81;4;1
13-02-2022;28,4;23,8;86;3;1
14-02-2022;27;23,6;89;4;1
15-02-2022;28,4;24,3;85;4;1
16-02-2022;29,3;25,3;81;8;3
17-02-2022;28,1;23,5;83;6;2
18-02-2022;29;23,8;80;6;3
19-02-2022;29,2;24,8;78;4;1
20-02-2022;28,3;24,8;77;3;1
21-02-2022;28,9;24,8;84;5;2
22-02-2022;28,9;24,3;81;8;4
23-02-2022;29,4;24,5;77;8;3
24-02-2022;29,8;24;81;5;2
25-02-2022;29;22,2;90;4;1
26-02-2022;28,7;22,6;89;3;1
27-02-2022;28,6;24,2;83;5;1
28-02-2022;27;23,4;88;4;2
01-03-2022;27;24,2;83;4;2
02-03-2022;29,7;25;77;5;2
03-03-2022;30,2;25,7;74;5;2
04-03-2022;29;24,5;84;4;2
05-03-2022;29,6;24,7;80;6;2
06-03-2022;28,8;24,1;82;5;2
07-03-2022;28,9;24,1;85;4;1
08-03-2022;29;24,1;84;5;2
09-03-2022;29,8;24,4;83;4;1
10-03-2022;28,8;23,9;84;3;1
11-03-2022;28,6;24,8;82;5;3
12-03-2022;27,4;23,9;86;4;2
13-03-2022;29,4;24,6;81;4;1
14-03-2022;29,6;24,3;85;3;1
15-03-2022;29,4;24,8;85;15;3
16-03-2022;29;24,6;84;5;2
17-03-2022;30,8;26,5;72;4;2
18-03-2022;30,3;24,3;84;6;2
19-03-2022;29,2;23,8;85;4;2
20-03-2022;28,4;23,5;91;5;1
21-03-2022;28,4;23,3;86;4;1
22-03-2022;28,6;23,4;83;5;2
23-03-2022;29,4;24,1;80;4;2
24-03-2022;30,8;25,1;83;4;2
25-03-2022;29,4;24,4;85;4;1
26-03-2022;29,4;24,3;82;3;0
27-03-2022;27,8;23,2;88;3;1
28-03-2022;29,6;23,8;82;5;2
29-03-2022;29,2;23,8;84;5;1
30-03-2022;30;24,8;79;4;1
31-03-2022;29,6;23;92;3;1
01-04-2022;29,2;22,1;85;2;0
02-04-2022;30;25,1;78;2;1
03-04-2022;30,6;24,3;76;5;1
04-04-2022;29;23,7;84;3;1
05-04-2022;29,8;24,3;78;4;2
06-04-2022;28,6;23,9;79;4;1
07-04-2022;28,6;25,1;77;4;2
08-04-2022;29;24,3;84;5;1
09-04-2022;29,6;24,7;79;3;1
10-04-2022;30,6;24,5;77;3;1
11-04-2022;30;25;72;3;2
12-04-2022;29,8;24,1;70;3;1
13-04-2022;29,4;24,1;73;3;1
14-04-2022;30;24,8;67;5;2
15-04-2022;30,3;25,5;69;4;2
16-04-2022;30,4;23;87;5;1
17-04-2022;30,4;25,1;74;4;2
18-04-2022;30,1;24,7;80;3;1
19-04-2022;28,8;23,5;88;4;1
20-04-2022;27,4;23,7;83;3;1
21-04-2022;28;23,5;85;4;1
22-04-2022;29,6;24,5;77;6;3
23-04-2022;29,8;24,9;79;3;1
24-04-2022;29,7;24,6;89;3;1
25-04-2022;29,8;25,4;81;3;1
26-04-2022;28,8;24,7;79;5;2
27-04-2022;29;24,3;79;4;2
28-04-2022;29,8;25,1;80;5;2
29-04-2022;28,8;24,2;80;4;2
30-04-2022;29;24,6;77;5;3
01-05-2022;30;25,5;74;5;3
02-05-2022;30,2;25;70;6;2
03-05-2022;30,4;24,5;78;3;1
04-05-2022;29,9;25;74;5;2
05-05-2022;29,8;25,2;74;5;2
06-05-2022;29;25,2;79;4;1
07-05-2022;29,9;24,1;85;2;1
08-05-2022;29,4;24,3;82;3;1
09-05-2022;29,4;25,4;80;5;2
10-05-2022;30,4;25,4;82;5;2
11-05-2022;30,4;25,6;76;5;2
12-05-2022;30,3;25,1;82;2;1
13-05-2022;29,7;25,4;83;3;1
14-05-2022;30,6;25,4;81;3;1
15-05-2022;29,8;25,7;76;3;2
16-05-2022;29,9;25;74;2;1
17-05-2022;29,6;24,7;76;4;1
18-05-2022;29,6;24,6;78;5;2
19-05-2022;29,6;24,6;80;6;2
20-05-2022;28,2;23,6;92;4;1
21-05-2022;28,8;25,1;77;7;2
22-05-2022;28,8;24,5;72;5;3
23-05-2022;28,6;24,5;68;5;3
24-05-2022;29,2;25,7;74;6;3
25-05-2022;29,4;25,5;78;4;2
26-05-2022;25,8;23,1;84;4;1
